urn:cts:greekLit:tlg0012.tlg001.hmt01:10.1	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="1"> Alongside the ships the other best <note>aristos</note> men of the Panachaeans</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.170	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="170"> I have faultless children, and I have warriors </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.171	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="171"> and cities from which some one could go back and forth and call them.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.172	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="172"> But an especially great need has overwhelmed the Achaeans. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.173	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="173"> Since now for everyone it stands on a razor’s edge </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.174	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="174"> whether it will be woeful destruction for the Achaeans or life.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.175	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="175"> But come now, go make the swift Ajax and the son of Phyleus </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.176	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="176"> get up—since you are younger—if you pity me.” </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.177	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="177"> So he spoke, and around his shoulders Diomedes put the skin of a lion</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.178	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="178"> that was big and tawny—the skin reached all the way to his feet—and he took a spear.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.179	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="179"> He set out to go, and after getting them up the hero led them from their places.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.180	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="180"> When they were mixed among the gathered watchmen, </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.181	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="181"> they found the leaders of the watch not sleeping, </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.182	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="182"> but all sat awake with their weapons. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.183	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="183"> As when dogs keep a hard watch around flocks in an enclosure</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.184	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="184"> after hearing the sound of a beast with a powerful heart <note>phrên</note> in thewoods</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.185	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="185"> coming through the mountains, and there is a great commotion over it </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.186	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="186"> of men and dogs, and for them sleep is lost,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.187	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="187"> just so sweet sleep was lost from the eyelids</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.188	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="188"> of those keeping watch that evil night. For always toward the plain</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.189	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="189"> they were turned, whenever they perceived the Trojans coming and going. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.190	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="190"> The old man rejoiced when he saw them and encouraged them with words<note>muthos</note>.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.191	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="191"> He spoke out and addressed to them winged words,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.192	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="192"> “Now this is the way to keep watch, dear <note>philos</note> children. Don’t let sleep </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.193	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="193"> take hold of anyone, so that we don’t we become a source of joy to our enemies.” </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.194	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="194"> So he spoke and he hurried across the ditch. They followed together with him, </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.195	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="195"> the kings of the Argives, as many as had been called to council.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.196	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="196"> Together with these Meriones and the glorious son of Nestor </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.197	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="197"> went. For the kings themselves had called them to brainstorm <note>mêtis</note> withthem.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.198	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="198"> Crossing the ditch that had been dug out they sat</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.199	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="199"> in a clearing, where a space showed through amid the corpses</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.200	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="200"> that had fallen, the place where mighty Hektor had been turned back again </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.201	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="201"> from destroying Argives, when night covered them over.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.202	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="202"> Sitting there they signaled with their words to one another.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.203	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="203"> The Gerenian horseman Nestor began the words <note>muthos</note> among them,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.204	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="204"> “Friends <note>philos</note>, could not some man be persuaded to obey his own</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.205	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="205"> daring heart <note>thumos</note> and go among the great-hearted <note>thumos</note>Trojans, </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.206	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="206"> go and see if he could capture someone somewhere at the edge of the enemy,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.207	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="207"> or somehow find out what they are saying among the Trojans,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.208	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="208"> whatever they are devising <note>mêtis</note> among themselves, whether they are eager</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.209	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="209"> to stay all the way out here near the ships or back to the city</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.210	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="210"> retreat, since they have overcome the Achaeans. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.211	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="211"> He could find out about all these things and then come back to us</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.212	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="212"> unscathed. Great fame <note>kleos</note> that reaches the heavens would be his</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.213	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="213"> over all men, and his reward would be a good <note>esthlos</note> one.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.214	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="214"> For as many best <note>aristos</note> men as have power <note>kratos</note> among theships,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.215	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="215"> all of these each one will give a black sheep,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.216	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="216"> a ewe with a lamb under her. There is no possession like it,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.217	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="217"> and he will always be present at feasts and banquets.”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.218	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="218"> So he spoke, and they all were silenced, speechless.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.219	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="219"> Among them Diomedes well-known for <note>agathos</note> his battle-cry spoke,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.220	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="220"> “Nestor, my heart and audacious spirit <note>thumos</note> rouse me</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.221	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="221"> to enter the encamped mass of enemy warriors who are nearby,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.222	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="222"> the Trojans. But if some other man as well could accompany me at the same time,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.223	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="223"> there would be more comfort and confidence. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.224	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="224"> When two men go together, one perceives <note>noos</note> even before the other</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.225	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="225"> what is the best strategy. The man going solo may perceive <note>noos</note> it,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.226	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="226"> but his perception <note>noos</note> is slower, and the intelligence <note>mêtis</note> islacking.”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.227	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="227"> So he spoke and many wanted to accompany Diomedes. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.228	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="228"> The two Ajaxes wanted to, the attendants <note>therapôn</note> of Ares,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.229	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="229"> Meriones wanted to, and the son of Nestor especially wanted to, </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.230	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="230"> and the son of Atreus, Menelaos famed for his spear, wanted to,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.231	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="231"> and the enduring Odysseus wanted to enter the crowd </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.232	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="232"> of the Trojans. For the spirit <note>thumos</note> in his heart <note>phrên</note> wasalways daring.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.233	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="233"> Among them lord of men Agamemnon spoke,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.234	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="234"> “Son of Tydeus, Diomedes, joy <note>kharis</note> of my heart <note>thumos</note>,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.235	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="235"> you will choose the companion whom you want, </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.236	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="236"> the best <note>aristos</note> one of those showing themselves before you, since many areeager.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.237	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="237"> Don’t out of reverence <note>aidos</note> in your heart <note>phrên</note> let the betterman</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.238	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="238"> get left behind, while you, yielding to your respect for rank <note>aidos</note>, accompanythe inferior man,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.239	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="239"> looking to birth, not even if he is kinglier.”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.240	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="240"> So he spoke, and he was afraid for golden-haired Menelaos. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.241	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="241"> Among them in turn Diomedes well-known for <note>agathos</note> his battle-cry spoke,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.242	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="242"> “If you are ordering me to choose a companion myself,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.243	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="243"> how could I overlook god-like Odysseus,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.244	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="244"> whose heart and audacious spirit <note>thumos</note> are especially ready</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.245	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="245"> for every kind of labor <note>ponos</note>, and Pallas Athena loves him? </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.246	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="246"> With him accompanying me even from burning fire</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.247	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="247"> we could return home <note>nostos</note>, since he is the best at knowing what to notice<note>noos</note>.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.248	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="248"> Then in turn much-enduring radiant Odysseus addressed him,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.249	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="249"> “Son of Tydeus, neither praise me too much nor insult <note>neikos</note> me in anyway.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.250	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="250"> For you are speaking to an assembly of Argives who know these things. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.251	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="251"> But let’s go. For night is passing, and dawn is near.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.252	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="252"> The stars have gone forward and most of the night has gone by—</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.253	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="253"> two portions <note>moira</note> of it, and the third portion is still left.”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.254	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="254"> So the two spoke and they put on the terrible implements of war.</l>
